,Ticker,PreCovidMedianPrice,PreCovidMeanPrice,CovidMinPrice,CurrentPrice,PriceDipPercent,PriceRecoveryPercent,RemainingDipPercent
1312,DS,4.07,4.05,1.07,2.51,73.55,35.6,37.95
3145,BNFT,23.18,23.22,6.18,14.44,73.38,35.58,37.8
3284,NEOS,1.52,1.56,0.47,0.97,70.15,32.41,37.75
3340,QTNT,8.36,8.34,2.54,5.2,69.53,31.91,37.61
1753,CVU,7.7,7.49,1.37,4.68,81.7,44.22,37.48
2370,AAL,28.29,28.41,9.04,17.77,68.18,30.73,37.45
2965,AESE,4.3,4.06,0.92,2.54,77.31,39.95,37.37
2766,ECOL,61.23,60.22,25.53,37.72,57.61,20.24,37.36
1694,TISI,17.1,17.12,3.83,10.76,77.63,40.48,37.15
128,CPIX,5.26,5.26,2.9,3.31,44.9,7.79,37.11
352,PARR,23.24,23.51,6.0,14.79,74.48,37.38,37.1
2598,OSW,15.76,15.86,2.54,10.0,83.99,47.02,36.96
120,CHX,26.75,27.62,3.02,17.42,89.07,52.11,36.95
3345,ARGO,66.22,66.06,26.12,41.7,60.46,23.58,36.88
2784,CHS,3.79,3.83,0.92,2.42,75.98,39.16,36.81
2433,MUR,23.17,22.64,4.68,14.42,79.33,43.02,36.31
1885,KNL,25.97,25.99,8.62,16.6,66.83,30.71,36.12
1100,FI,5.1,5.05,1.54,3.23,69.51,33.46,36.05
1837,FRO,10.55,10.43,5.41,6.67,48.11,12.09,36.02
20,BVH,23.15,23.18,6.25,14.89,73.03,37.28,35.75
782,HXL,77.56,78.23,26.75,50.43,65.81,30.27,35.54
2297,CATB,5.32,5.41,1.32,3.5,75.59,40.32,35.27
2428,FET,27.8,28.9,3.2,18.72,88.93,53.71,35.22
1937,WFC,52.17,51.5,21.14,33.4,58.95,23.81,35.14
1354,GRPN,56.4,55.37,9.8,35.95,82.3,47.23,35.07
1229,GTE,1.13,1.17,0.18,0.76,84.62,49.55,35.07
238,GEN,1.5,1.44,0.42,0.94,70.89,36.04,34.85
1787,BHLB,31.55,31.16,8.71,20.34,72.05,37.33,34.72
3215,OFS,11.64,11.58,3.52,7.56,69.6,34.89,34.71
1067,RMCF,9.08,9.03,2.62,5.9,70.98,36.33,34.65
435,WTI,4.38,4.53,1.09,2.96,75.92,41.3,34.62
2453,LPI,49.6,49.55,6.8,32.54,86.28,51.94,34.33
2934,NWN,69.89,69.62,42.44,45.79,39.04,4.81,34.23
1382,STRA,141.74,142.68,83.06,94.29,41.79,7.87,33.92
2381,HAYN,35.85,35.75,15.77,23.63,55.89,21.98,33.91
