Date,Open,High,Low,Close,Adj Close,Volume
2020-01-31,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,0
2020-02-03,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,100
2020-02-04,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,1500
2020-02-05,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-06,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-07,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-10,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-11,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-12,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-13,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-14,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-18,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-19,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-20,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-21,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,42.380001068115234,0
2020-02-24,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,100
2020-02-25,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-02-26,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-02-27,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-02-28,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-03-02,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-03-03,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
